batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-10000|optimizer-Adam
iteration,abLoss,eLoss,eveIncorrect,abIncorrect
0,2.25786,0.500028,0.500028,0.500043,5
100,2.25806,0.500083,0.500083,0.500257,5
200,2.25821,0.500067,0.500067,0.500401,5
300,2.25831,0.499961,0.499961,0.500458,5
400,2.25745,0.50007,0.50007,0.499639,5
500,2.25871,0.499547,0.499547,0.500671,5
600,2.25249,0.499703,0.499703,0.494539,5
700,2.2474,0.49671,0.49671,0.488039,5
800,2.24039,0.491874,0.491874,0.47877,5
900,2.22594,0.488295,0.488295,0.462637,5
1000,2.21731,0.478534,0.478534,0.449431,5
1100,2.20181,0.472671,0.472671,0.431165,5
1200,2.18126,0.469304,0.469304,0.409026,5
1300,2.16716,0.460034,0.460034,0.390557,5
1400,2.1507,0.452054,0.452054,0.370341,5
1500,2.13476,0.44346,0.44346,0.350342,5
1600,2.12278,0.430187,0.430187,0.332099,5
1700,2.10773,0.418245,0.418245,0.311385,5
1800,2.09488,0.403212,0.403212,0.291398,5
1900,2.08359,0.387092,0.387092,0.272461,5
2000,2.07149,0.371536,0.371536,0.252953,5
2100,2.064,0.357365,0.357365,0.238684,5
2200,2.0553,0.342577,0.342577,0.222932,5
2300,2.0493,0.3284,0.3284,0.210121,5
2400,2.04223,0.314402,0.314402,0.196332,5
2500,2.03731,0.303866,0.303866,0.186372,5
2600,2.03098,0.292935,0.292935,0.174758,5
2700,2.02633,0.283787,0.283787,0.165709,5
2800,2.02505,0.278544,0.278544,0.161835,5
2900,2.01971,0.27062,0.27062,0.152667,5
3000,2.01784,0.265356,0.265356,0.148333,5
3100,2.015,0.257881,0.257881,0.141876,5
3200,1.98518,0.253209,0.253209,0.109762,5
3300,1.97272,0.236934,0.236934,0.089399,5
3400,1.95859,0.227969,0.227969,0.0708872,5
3500,1.93557,0.215959,0.215959,0.0421454,5
3600,1.92775,0.208467,0.208467,0.0305975,5
3700,1.92395,0.203529,0.203529,0.0243428,5
3800,1.92236,0.198514,0.198514,0.0202979,5
3900,1.92059,0.196277,0.196277,0.0174961,5
4000,1.91959,0.193882,0.193882,0.0153689,5
4100,1.91944,0.190793,0.190793,0.0136768,5
4200,1.91821,0.190636,0.190636,0.0123761,5
4300,1.9183,0.188054,0.188054,0.0112672,5
4400,1.91853,0.185858,0.185858,0.0103278,5
4500,1.91695,0.187474,0.187474,0.00961324,5
4600,1.91708,0.185815,0.185815,0.00883544,5
4700,1.9169,0.185028,0.185028,0.0082459,5
4800,1.91692,0.183619,0.183619,0.00770178,5
4900,1.91676,0.182888,0.182888,0.00721305,5
5000,1.91703,0.181738,0.181738,0.00679535,5
5100,1.91632,0.18205,0.18205,0.00639295,5
5200,1.91586,0.182282,0.182282,0.00601738,5
5300,1.91638,0.180811,0.180811,0.00571951,5
5400,1.91546,0.181802,0.181802,0.00543508,5
5500,1.91562,0.181154,0.181154,0.00514459,5
5600,1.91548,0.18104,0.18104,0.00489593,5
5700,1.91499,0.181303,0.181303,0.00465145,5
5800,1.91527,0.180526,0.180526,0.0044416,5
5900,1.91511,0.180451,0.180451,0.00421254,5
6000,1.91572,0.178299,0.178299,0.00402124,5
6100,1.91549,0.178552,0.178552,0.00385879,5
6200,1.91527,0.178885,0.178885,0.00368249,5
6300,1.91522,0.178746,0.178746,0.00353157,5
6400,1.9142,0.180574,0.180574,0.00336572,5
6500,1.91486,0.178569,0.178569,0.00324611,5
6600,1.91449,0.178906,0.178906,0.00309257,5
6700,1.9144,0.179057,0.179057,0.00297615,5
6800,1.91441,0.178743,0.178743,0.00286798,5
6900,1.91458,0.177961,0.177961,0.00276918,5
7000,1.91432,0.178518,0.178518,0.00263707,5
7100,1.91432,0.178234,0.178234,0.00254721,5
7200,1.91471,0.177131,0.177131,0.00244344,5
7300,1.91422,0.178141,0.178141,0.00235763,5
7400,1.9143,0.177711,0.177711,0.00226573,5
7500,1.91421,0.177769,0.177769,0.00218109,5
7600,1.91418,0.177713,0.177713,0.00209638,5
7700,1.91418,0.17746,0.17746,0.00201242,5
7800,1.91411,0.17745,0.17745,0.0019427,5
7900,1.91388,0.178056,0.178056,0.00186839,5
8000,1.91367,0.178216,0.178216,0.00182317,5
8100,1.91386,0.177699,0.177699,0.00174419,5
8200,1.91343,0.17842,0.17842,0.00168495,5
8300,1.91367,0.177688,0.177688,0.00163714,5
8400,1.91407,0.177064,0.177064,0.00157771,5
8500,1.91372,0.177335,0.177335,0.00151528,5
8600,1.91379,0.177109,0.177109,0.00146131,5
8700,1.91307,0.178829,0.178829,0.00140363,5
8800,1.91332,0.177672,0.177672,0.00137457,5
8900,1.91367,0.176876,0.176876,0.00132813,5
9000,1.9134,0.177267,0.177267,0.00127877,5
9100,1.91312,0.178082,0.178082,0.00123281,5
9200,1.91326,0.177322,0.177322,0.00118723,5
9300,1.91313,0.17773,0.17773,0.00114828,5
9400,1.91307,0.178126,0.178126,0.00110945,5
9500,1.91338,0.176942,0.176942,0.00107707,5
9600,1.91328,0.177074,0.177074,0.00105014,5
9700,1.91305,0.178056,0.178056,0.00100573,5
9800,1.91304,0.178073,0.178073,0.000974864,5
9900,1.91315,0.177251,0.177251,0.000941906,5
