batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-10000|optimizer-Adam
iteration,abLoss,eLoss,eveIncorrect,abIncorrect
0,2.25776,0.500033,0.500033,0.499965
100,2.25777,0.500028,0.500028,0.499974
200,2.25762,0.500113,0.500113,0.49986
300,2.25811,0.499831,0.499831,0.500221
400,2.25698,0.499661,0.499661,0.499013
500,2.24833,0.498228,0.498228,0.489689
600,2.23794,0.493471,0.493471,0.477066
700,2.22705,0.487641,0.487641,0.463439
800,2.21659,0.482544,0.482544,0.450588
900,2.20949,0.478353,0.478353,0.441518
1000,2.20195,0.474393,0.474393,0.432118
1100,2.20011,0.47007,0.47007,0.428239
1200,2.1925,0.46688,0.46688,0.419132
1300,2.18896,0.4635,0.4635,0.414001
1400,2.18707,0.460232,0.460232,0.41057
1500,2.18448,0.457293,0.457293,0.406588
1600,2.18157,0.454331,0.454331,0.402287
1700,2.17895,0.451618,0.451618,0.398389
1800,2.17583,0.4485,0.4485,0.39379
1900,2.17214,0.445435,0.445435,0.388655
2000,2.1716,0.442425,0.442425,0.386699
2100,2.1675,0.438868,0.438868,0.380917
2200,2.1665,0.43532,0.43532,0.378239
2300,2.1638,0.431247,0.431247,0.373608
2400,2.1572,0.426508,0.426508,0.364766
2500,2.15434,0.420739,0.420739,0.359178
2600,2.14822,0.414126,0.414126,0.349921
2700,2.14126,0.407478,0.407478,0.339814
2800,2.11242,0.395482,0.395482,0.305274
2900,2.09908,0.381296,0.381296,0.285181
3000,2.08897,0.367891,0.367891,0.26869
3100,2.07758,0.352204,0.352204,0.249802
3200,2.06809,0.337608,0.337608,0.233334
3300,2.06092,0.322838,0.322838,0.219078
3400,2.05223,0.307125,0.307125,0.202849
3500,2.04618,0.29131,0.29131,0.189186
3600,2.0396,0.276958,0.276958,0.175686
3700,2.03372,0.261931,0.261931,0.16254
3800,2.02988,0.250381,0.250381,0.153113
3900,2.02427,0.23745,0.23745,0.141235
4000,2.02092,0.226171,0.226171,0.132409
4100,2.01932,0.216785,0.216785,0.126243
4200,2.01564,0.20683,0.20683,0.11772
4300,2.01263,0.198341,0.198341,0.110573
4400,2.01084,0.191018,0.191018,0.105211
4500,2.01027,0.186081,0.186081,0.102227
4600,2.00841,0.180535,0.180535,0.0976624
4700,2.00758,0.175322,0.175322,0.0942756
4800,2.00629,0.169357,0.169357,0.0900716
4900,2.00603,0.166957,0.166957,0.088637
5000,2.00507,0.163268,0.163268,0.0858705
5100,2.00445,0.159003,0.159003,0.0831636
5200,2.0028,0.156512,0.156512,0.0802884
5300,2.00346,0.153771,0.153771,0.0796084
5400,2.00217,0.152008,0.152008,0.0774532
5500,2.00239,0.151002,0.151002,0.0771808
5600,2.00299,0.149947,0.149947,0.0772585
5700,2.0025,0.148815,0.148815,0.0762151
5800,2.00116,0.14522,0.14522,0.0731103
5900,2.00259,0.14557,0.14557,0.0747075
6000,2.00151,0.145032,0.145032,0.0733645
6100,2.00135,0.144602,0.144602,0.0729943
6200,2.00048,0.14302,0.14302,0.0713483
6300,2.0007,0.142584,0.142584,0.0713591
6400,2.0008,0.141733,0.141733,0.0710352
6500,2.00085,0.141747,0.141747,0.0710919
6600,2.00047,0.140202,0.140202,0.0699593
6700,1.99985,0.14026,0.14026,0.0693701
6800,2.00103,0.141629,0.141629,0.071213
6900,2.0,0.139971,0.139971,0.0693726
7000,1.99985,0.13977,0.13977,0.0691205
7100,1.99944,0.138493,0.138493,0.0680842
7200,1.99889,0.137969,0.137969,0.0672769
7300,1.99869,0.138175,0.138175,0.0671778
7400,1.99882,0.139325,0.139325,0.0678805
7500,1.99843,0.137076,0.137076,0.0663807
7600,1.99818,0.137057,0.137057,0.0661199
7700,1.99918,0.137742,0.137742,0.0674593
7800,1.99968,0.138566,0.138566,0.0683599
7900,1.99828,0.137446,0.137446,0.0664144
8000,1.99789,0.138107,0.138107,0.0663446
8100,1.99916,0.139368,0.139368,0.0682408
8200,1.99862,0.138339,0.138339,0.0671885
8300,1.99788,0.137574,0.137574,0.0660732
8400,1.99883,0.138933,0.138933,0.0676914
8500,1.99774,0.137508,0.137508,0.0659023
8600,1.99845,0.138468,0.138468,0.0670854
8700,1.99813,0.136721,0.136721,0.0659112
8800,1.99835,0.138865,0.138865,0.0671765
8900,1.99781,0.137841,0.137841,0.0661404
9000,1.99781,0.136846,0.136846,0.0656421
9100,1.99808,0.135646,0.135646,0.065332
9200,1.99791,0.137488,0.137488,0.0660646
9300,1.99775,0.138192,0.138192,0.0662483
9400,1.9984,0.138236,0.138236,0.0669246
9500,1.99674,0.136386,0.136386,0.0643529
9600,1.9979,0.138221,0.138221,0.0664177
9700,1.99822,0.137025,0.137025,0.0661482
9800,1.99802,0.138567,0.138567,0.0667033
9900,1.99746,0.13759,0.13759,0.0656606
