batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-10000|optimizer-Adam
iteration,abLoss,eLoss,eveIncorrect,abIncorrect
0,2.2578,0.500036,0.500036,0.500008,6
100,2.25782,0.499993,0.499993,0.500003,6
200,2.25782,0.499977,0.499977,0.499993,6
300,2.25654,0.499942,0.499942,0.498697,6
400,2.2445,0.497416,0.497416,0.485481,6
500,2.21821,0.487688,0.487688,0.454623,6
600,2.18017,0.468026,0.468026,0.407334,6
700,2.1361,0.437501,0.437501,0.348872,6
800,2.08594,0.396224,0.396224,0.279146,6
900,2.04082,0.355653,0.355653,0.214694,6
1000,2.00642,0.318199,0.318199,0.162358,6
1100,1.98256,0.2861,0.2861,0.123056,6
1200,1.96471,0.261433,0.261433,0.0932949,6
1300,1.952,0.244624,0.244624,0.0724447,6
1400,1.94415,0.229835,0.229835,0.0574186,6
1500,1.93828,0.218687,0.218687,0.0461264,6
1600,1.93334,0.212249,0.212249,0.0380518,6
1700,1.93002,0.206446,0.206446,0.0319102,6
1800,1.92742,0.201949,0.201949,0.0271199,6
1900,1.92543,0.198478,0.198478,0.0234393,6
2000,1.92368,0.196075,0.196075,0.0205145,6
2100,1.92233,0.193864,0.193864,0.018084,6
2200,1.92118,0.192192,0.192192,0.0161233,6
2300,1.92008,0.19109,0.19109,0.0144856,6
2400,1.91916,0.190068,0.190068,0.0130685,6
2500,1.91837,0.189289,0.189289,0.0118909,6
2600,1.91791,0.188148,0.188148,0.0108779,6
2700,1.91697,0.188228,0.188228,0.00997603,6
2800,1.91664,0.187308,0.187308,0.00920128,6
2900,1.9164,0.18642,0.18642,0.00851977,6
3000,1.91586,0.18624,0.18624,0.00789393,6
3100,1.91549,0.185869,0.185869,0.00734643,6
3200,1.91496,0.185955,0.185955,0.00686195,6
3300,1.91481,0.185349,0.185349,0.00640801,6
3400,1.9145,0.185156,0.185156,0.00601135,6
3500,1.91431,0.184817,0.184817,0.00564778,6
3600,1.91397,0.184804,0.184804,0.00530732,6
3700,1.91392,0.184293,0.184293,0.00500502,6
3800,1.91345,0.184676,0.184676,0.00472523,6
3900,1.91309,0.184883,0.184883,0.00446047,6
4000,1.91317,0.184239,0.184239,0.00422669,6
4100,1.9132,0.18372,0.18372,0.00400635,6
4200,1.91273,0.184255,0.184255,0.0037946,6
4300,1.91255,0.184227,0.184227,0.00360476,6
4400,1.91254,0.183898,0.183898,0.00342842,6
4500,1.91237,0.183897,0.183897,0.00325887,6
4600,1.91221,0.183911,0.183911,0.00310429,6
4700,1.91234,0.183339,0.183339,0.00295975,6
4800,1.91226,0.183224,0.183224,0.00281999,6
4900,1.91194,0.183616,0.183616,0.00269186,6
5000,1.91168,0.183892,0.183892,0.00257183,6
5100,1.91196,0.183095,0.183095,0.00245538,6
5200,1.91124,0.184334,0.184334,0.00234786,6
5300,1.91176,0.183067,0.183067,0.00224708,6
5400,1.91128,0.183858,0.183858,0.00214897,6
5500,1.91125,0.183731,0.183731,0.00205878,6
5600,1.91166,0.182709,0.182709,0.00197409,6
5700,1.91106,0.183766,0.183766,0.00188921,6
5800,1.911,0.183743,0.183743,0.00181249,6
5900,1.91112,0.183334,0.183334,0.00173941,6
6000,1.91121,0.183003,0.183003,0.00166831,6
6100,1.91073,0.183851,0.183851,0.00160126,6
6200,1.91076,0.183658,0.183658,0.00153851,6
6300,1.91061,0.183855,0.183855,0.0014765,6
6400,1.91094,0.183062,0.183062,0.00141953,6
6500,1.91048,0.183875,0.183875,0.00136502,6
6600,1.91079,0.183135,0.183135,0.00131165,6
6700,1.91055,0.18352,0.18352,0.00126195,6
6800,1.91051,0.183505,0.183505,0.00121428,6
6900,1.91012,0.184208,0.184208,0.00116722,6
7000,1.91057,0.183208,0.183208,0.0011244,6
7100,1.91018,0.183927,0.183927,0.00108223,6
7200,1.91034,0.183505,0.183505,0.00104156,6
7300,1.91045,0.18321,0.18321,0.00100344,6
7400,1.91018,0.183677,0.183677,0.000966819,6
7500,1.9101,0.183777,0.183777,0.000930761,6
7600,1.91052,0.182837,0.182837,0.000897487,6
7700,1.91074,0.182327,0.182327,0.000865337,6
7800,1.91038,0.182995,0.182995,0.000833235,6
7900,1.91001,0.183705,0.183705,0.000803434,6
8000,1.91024,0.183177,0.183177,0.000775197,6
8100,1.91027,0.183045,0.183045,0.00074699,6
8200,1.91009,0.183362,0.183362,0.000720604,6
8300,1.90986,0.183779,0.183779,0.000695374,6
8400,1.91023,0.182976,0.182976,0.000670508,6
8500,1.90962,0.18418,0.18418,0.000646922,6
8600,1.91013,0.183092,0.183092,0.00062458,6
8700,1.91011,0.183074,0.183074,0.000602316,6
8800,1.91011,0.183029,0.183029,0.000581755,6
8900,1.90978,0.18368,0.18368,0.000561537,6
9000,1.90975,0.183685,0.183685,0.000541694,6
9100,1.90975,0.183663,0.183663,0.000523072,6
9200,1.90966,0.183791,0.183791,0.000505297,6
9300,1.90974,0.183592,0.183592,0.00048761,6
9400,1.90953,0.183998,0.183998,0.000470978,6
9500,1.91017,0.182658,0.182658,0.000455279,6
9600,1.90978,0.183424,0.183424,0.000439337,6
9700,1.90975,0.183442,0.183442,0.000424531,6
9800,1.90989,0.183131,0.183131,0.000410304,6
9900,1.90954,0.183823,0.183823,0.000395979,6
