batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-100000|optimizer-Adam
iteration,abLoss,eLoss,eveIncorrect,abIncorrect
0,2.25812,0.49997,0.49997,0.500297
100,2.25767,0.500044,0.500044,0.49988
200,2.2577,0.500044,0.500044,0.499913
300,2.25785,0.499977,0.499977,0.500027
400,2.25763,0.500098,0.500098,0.499861
500,2.25833,0.499729,0.499729,0.500389
600,2.25803,0.499867,0.499867,0.500151
700,2.25806,0.499839,0.499839,0.500174
800,2.25759,0.500173,0.500173,0.499857
900,2.25781,0.5,0.5,0.5
1000,2.25739,0.500298,0.500298,0.499714
1100,2.25828,0.499678,0.499678,0.500314
1200,2.25702,0.500509,0.500509,0.499451
1300,2.25809,0.499848,0.499848,0.500211
1400,2.25848,0.499632,0.499632,0.500494
1500,2.25732,0.500289,0.500289,0.499645
1600,2.25786,0.499974,0.499974,0.500036
1700,2.25762,0.500104,0.500104,0.499853
1800,2.25807,0.49986,0.49986,0.500192
1900,2.25668,0.500336,0.500336,0.499026
2000,2.25451,0.500006,0.500006,0.496698
2100,2.25108,0.499201,0.499201,0.492896
2200,2.25301,0.496073,0.496073,0.493361
2300,2.24656,0.49685,0.49685,0.487275
2400,2.24686,0.494268,0.494268,0.486363
2500,2.2459,0.49227,0.49227,0.484457
2600,2.23887,0.493508,0.493508,0.478017
2700,2.24263,0.488657,0.488657,0.479497
2800,2.24043,0.486874,0.486874,0.47646
2900,2.23791,0.485482,0.485482,0.473284
3000,2.23315,0.48471,0.48471,0.468167
3100,2.23343,0.48125,0.48125,0.466821
3200,2.22912,0.479433,0.479433,0.461655
3300,2.22483,0.476744,0.476744,0.456098
3400,2.2189,0.473425,0.473425,0.448613
3500,2.21015,0.46943,0.46943,0.437975
3600,2.19808,0.465231,0.465231,0.423927
3700,2.18697,0.458545,0.458545,0.409674
3800,2.17175,0.452756,0.452756,0.391721
3900,2.15154,0.449265,0.449265,0.369863
4000,2.1368,0.441766,0.441766,0.351589
4100,2.12108,0.433089,0.433089,0.331764
4200,2.10298,0.425488,0.425488,0.31007
4300,2.08607,0.417692,0.417692,0.289468
4400,2.06841,0.410119,0.410119,0.268216
4500,2.05014,0.401137,0.401137,0.245679
4600,2.03478,0.392559,0.392559,0.226242
4700,2.01742,0.383269,0.383269,0.204465
4800,2.00234,0.374091,0.374091,0.185015
4900,1.98878,0.365044,0.365044,0.167141
5000,1.97695,0.35553,0.35553,0.150763
5100,1.96501,0.34709,0.34709,0.134786
5200,1.95586,0.33822,0.33822,0.121395
5300,1.94783,0.32947,0.32947,0.109174
5400,1.93984,0.32163,0.32163,0.0974212
5500,1.93251,0.3156,0.3156,0.0871941
5600,1.92689,0.309475,0.309475,0.0786308
5700,1.92125,0.302973,0.302973,0.0698719
5800,1.91673,0.297333,0.297333,0.0626381
5900,1.91229,0.292945,0.292945,0.0560808
6000,1.90922,0.288784,0.288784,0.0510075
6100,1.90606,0.284591,0.284591,0.0458203
6200,1.90332,0.281297,0.281297,0.0414982
6300,1.90078,0.27822,0.27822,0.0374703
6400,1.8985,0.275471,0.275471,0.0338645
6500,1.89658,0.273552,0.273552,0.0310222
6600,1.89512,0.270993,0.270993,0.0283258
6700,1.89308,0.27005,0.27005,0.0258301
