batch_size-4096|learning_rate-0.0008|message_length-16|num_iters-10000|optimizer-Adam|variantNet-True
Iteration,Alice-Bob/Loss,EveLoss,EveIncorrect,Alice/Bob-Incorrect,RunNumber
0,6.65234,0.500009,0.500009,0.500001,11
100,6.65238,0.499959,0.499959,0.500006,11
200,6.65235,0.499973,0.499973,0.500006,11
300,6.65229,0.500091,0.500091,0.499976,11
400,6.65212,0.500183,0.500183,0.499903,11
500,6.6524,0.499949,0.499949,0.500035,11
600,6.65179,0.500426,0.500426,0.499753,11
700,6.65145,0.500126,0.500126,0.498905,11
800,6.64381,0.500003,0.500003,0.491398,11
900,6.63192,0.498362,0.498362,0.476935,11
1000,6.61567,0.495892,0.495892,0.456697,11
1100,6.59381,0.491979,0.491979,0.428429,11
1200,6.56854,0.486008,0.486008,0.393233,11
1300,6.53979,0.480077,0.480077,0.354645,11
1400,6.51334,0.472392,0.472392,0.315595,11
1500,6.4851,0.464637,0.464637,0.274586,11
1600,6.46555,0.453313,0.453313,0.236348,11
1700,6.44418,0.444396,0.444396,0.200299,11
1800,6.4277,0.434639,0.434639,0.167665,11
1900,6.41132,0.424846,0.424846,0.135063,11
2000,6.40101,0.416793,0.416793,0.111419,11
2100,6.39253,0.411861,0.411861,0.0947175,11
2200,6.38278,0.408838,0.408838,0.0799295,11
2300,6.37824,0.405169,0.405169,0.0693258,11
2400,6.37233,0.403149,0.403149,0.0600977,11
2500,6.36931,0.40118,0.40118,0.0537875,11
2600,6.36931,0.397772,0.397772,0.0480966,11
2700,6.36662,0.396239,0.396239,0.0428323,11
2800,6.3646,0.395739,0.395739,0.0399892,11
2900,6.36365,0.39427,0.39427,0.0365699,11
3000,6.36372,0.392849,0.392849,0.034321,11
3100,6.36313,0.392078,0.392078,0.0324498,11
3200,6.36013,0.393079,0.393079,0.0310187,11
3300,6.35724,0.393646,0.393646,0.0292098,11
3400,6.35862,0.392138,0.392138,0.0279893,11
3500,6.35376,0.394533,0.394533,0.0272016,11
3600,6.35885,0.390927,0.390927,0.0261622,11
3700,6.35591,0.392015,0.392015,0.0251549,11
3800,6.35709,0.391374,0.391374,0.0252646,11
3900,6.35437,0.392237,0.392237,0.0240178,11
4000,6.35643,0.39047,0.39047,0.0231694,11
4100,6.35817,0.389053,0.389053,0.0223489,11
4200,6.35315,0.392483,0.392483,0.0229802,11
4300,6.35227,0.392183,0.392183,0.0215503,11
4400,6.35259,0.391413,0.391413,0.0208097,11
4500,6.35579,0.389413,0.389413,0.0209017,11
4600,6.352,0.39217,0.39217,0.0211473,11
4700,6.35317,0.390866,0.390866,0.0205426,11
4800,6.3516,0.391765,0.391765,0.0199778,11
4900,6.35174,0.391305,0.391305,0.0194865,11
5000,6.35439,0.389544,0.389544,0.0199407,11
5100,6.34563,0.394424,0.394424,0.0192794,11
5200,6.34942,0.392583,0.392583,0.0193707,11
5300,6.34754,0.393176,0.393176,0.0190861,11
5400,6.35189,0.390739,0.390739,0.0187336,11
5500,6.34989,0.392139,0.392139,0.0190343,11
5600,6.35108,0.391223,0.391223,0.0184228,11
5700,6.35542,0.387818,0.387818,0.0176012,11
5800,6.35181,0.3901,0.3901,0.0178386,11
5900,6.35161,0.390263,0.390263,0.017681,11
6000,6.34773,0.392509,0.392509,0.0180093,11
6100,6.35224,0.389609,0.389609,0.0177339,11
6200,6.35029,0.391338,0.391338,0.0177309,11
6300,6.34695,0.392613,0.392613,0.0176521,11
6400,6.34654,0.392622,0.392622,0.0173191,11
6500,6.34949,0.391625,0.391625,0.0176081,11
6600,6.35142,0.389998,0.389998,0.0169595,11
6700,6.34912,0.391542,0.391542,0.0169593,11
6800,6.34869,0.391796,0.391796,0.0172312,11
6900,6.34982,0.391324,0.391324,0.0172085,11
7000,6.35206,0.388802,0.388802,0.0165906,11
7100,6.34942,0.391563,0.391563,0.017452,11
7200,6.34854,0.391708,0.391708,0.0169036,11
7300,6.35052,0.39031,0.39031,0.0162303,11
7400,6.34861,0.391787,0.391787,0.0172808,11
7500,6.35159,0.389805,0.389805,0.0167604,11
7600,6.34975,0.391176,0.391176,0.0168891,11
7700,6.34755,0.391938,0.391938,0.0172075,11
7800,6.34724,0.391901,0.391901,0.0168299,11
7900,6.34555,0.392569,0.392569,0.0161641,11
8000,6.34457,0.393506,0.393506,0.0168154,11
8100,6.35235,0.388667,0.388667,0.016625,11
8200,6.34685,0.392585,0.392585,0.0174991,11
8300,6.34995,0.390713,0.390713,0.0165243,11
8400,6.34443,0.393303,0.393303,0.016433,11
8500,6.35012,0.390552,0.390552,0.0163999,11
8600,6.34984,0.390627,0.390627,0.0162948,11
8700,6.34539,0.392912,0.392912,0.016956,11
8800,6.34875,0.39153,0.39153,0.0167948,11
8900,6.34962,0.39104,0.39104,0.0164752,11
9000,6.35003,0.390778,0.390778,0.0165682,11
9100,6.34695,0.391894,0.391894,0.0167054,11
9200,6.34882,0.391218,0.391218,0.0157748,11
9300,6.34641,0.392502,0.392502,0.0168187,11
9400,6.34518,0.392923,0.392923,0.0167812,11
9500,6.35,0.390732,0.390732,0.0164297,11
9600,6.34975,0.390809,0.390809,0.0162552,11
9700,6.34954,0.390566,0.390566,0.0158457,11
9800,6.35225,0.388406,0.388406,0.0162068,11
9900,6.35144,0.388341,0.388341,0.0153352,11
